"SPECIES_GROUP_ID","SPECIES_GROUP_CODE","SPECIES_GROUP_NAME","SG_EFFECTIVE_DATE","AGENCY","AGENCY_SPECIES_ID","AGENCY_SPECIES_CODE","AGENCY_SPECIES_NAME","MANAGEMENT_AREA_ID","MANAGEMENT_AREA_CODE"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",7,"124","Dover Sole",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",3,"120","Miscellaneous Flatfish",21,"AI"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",3,"120","Miscellaneous Flatfish",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",1047,"100","Flatfish, unidentified",21,"AI"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",1047,"100","Flatfish, unidentified",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",1513,"120","Miscellaneous Flatfish",20,"BS"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",1047,"100","Flatfish, unidentified",21,"AI"
120,"FLO5","BSAI Other Flatfish",01-JAN-07,"AKR",1047,"100","Flatfish, unidentified",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",14,"132","Sand Sole",20,"BS"
70,"FLO5","BSAI Other Flatfish",01-JAN-02,"AKR",14,"132","Sand Sole",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",25,"145","Yelloweye Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",25,"145","Yelloweye Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",26,"146","Canary Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",26,"146","Canary Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",27,"147","Quillback Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",27,"147","Quillback Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",28,"148","Tiger Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",28,"148","Tiger Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",29,"149","China Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",29,"149","China Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",30,"150","Rosethorn Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",30,"150","Rosethorn Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",33,"153","Redbanded Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",33,"153","Redbanded Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",34,"154","Dusky Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",34,"154","Dusky Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",35,"155","Yellowtail Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",35,"155","Yellowtail Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",36,"156","Widow Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",36,"156","Widow Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",37,"157","Silvergray Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",37,"157","Silvergray Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",38,"158","Redstripe Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",38,"158","Redstripe Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",39,"159","Darkblotched Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",39,"159","Darkblotched Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",42,"167","Blue Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",42,"167","Blue Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",43,"168","Demersal Shelf Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",43,"168","Demersal Shelf Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",218,"139","Unidentified Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",218,"139","Unidentified Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",17,"135","Greenstriped Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",17,"135","Greenstriped Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",19,"137","Bocaccio Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",19,"137","Bocaccio Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",20,"138","Copper Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",20,"138","Copper Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",22,"142","Black Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",22,"142","Black Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",23,"143","Thornyhead Rockfish (Idiots)",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",23,"143","Thornyhead Rockfish (Idiots)",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",24,"144","Slope Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",24,"144","Slope Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",1410,"169","Pelagic Shelf Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",1410,"169","Pelagic Shelf Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",46,"175","Yellowmouth Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",46,"175","Yellowmouth Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",47,"176","Harlequin Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",47,"176","Harlequin Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",48,"177","Blackgill Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",48,"177","Blackgill Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",49,"178","Chilipepper Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",49,"178","Chilipepper Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",50,"179","Pygmy Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",50,"179","Pygmy Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",51,"181","Shortbelly Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",51,"181","Shortbelly Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",52,"182","Splitnose Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",52,"182","Splitnose Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",53,"183","Stripetail Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",53,"183","Stripetail Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",54,"184","Vermilion Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",54,"184","Vermilion Rockfish",21,"AI"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",55,"185","Aurora Rockfish",20,"BS"
11,"ROCK","BSAI Other Rockfish",01-JAN-86,"AKR",55,"185","Aurora Rockfish",21,"AI"
97,"REYE","BSAI Rougheye Rockfish",01-JAN-04,"AKR",31,"151","Rougheye Rockfish",20,"BS"
97,"REYE","BSAI Rougheye Rockfish",01-JAN-04,"AKR",31,"151","Rougheye Rockfish",21,"AI"
99,"SRKR","BSAI Shortraker Rockfish",01-JAN-04,"AKR",32,"152","Shortraker Rockfish",20,"BS"
99,"SRKR","BSAI Shortraker Rockfish",01-JAN-04,"AKR",32,"152","Shortraker Rockfish",21,"AI"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1551,"701","Skate, Longnose",20,"BS"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1623,"705","Skate, Whiteblotched",31,"GOA"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1622,"704","Skate, Aleutian",31,"GOA"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1615,"703","Skate, Alaska",31,"GOA"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1621,"700","Skate, Other",31,"GOA"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1623,"705","Skate, Whiteblotched",21,"AI"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1623,"705","Skate, Whiteblotched",20,"BS"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1622,"704","Skate, Aleutian",21,"AI"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1622,"704","Skate, Aleutian",20,"BS"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1615,"703","Skate, Alaska",21,"AI"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1621,"700","Skate, Other",20,"BS"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1621,"700","Skate, Other",21,"AI"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1551,"701","Skate, Longnose",21,"AI"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1641,"702","Skate, Big",20,"BS"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1641,"702","Skate, Big",21,"AI"
142,"USKT","BSAI Skate and GOA Skate, Other",01-JAN-11,"AKR",1615,"703","Skate, Alaska",20,"BS"
19,"SQID","BSAI Squid",01-JAN-86,"AKR",81,"875","Squid",20,"BS"
19,"SQID","BSAI Squid",01-JAN-86,"AKR",81,"875","Squid",21,"AI"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",96,"511","HUMBOLDT SQUID",21,"AI"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",96,"511","HUMBOLDT SQUID",20,"BS"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",144,"28","PACIFIC BOBTAIL SQUID",21,"AI"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",144,"28","PACIFIC BOBTAIL SQUID",20,"BS"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",467,"51","ROBUST CLUBHOOK SQUID",20,"BS"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",98,"50","SQUID UNIDENTIFIED",21,"AI"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",98,"50","SQUID UNIDENTIFIED",20,"BS"
19,"SQID","BSAI Squid",01-JAN-86,"OBS",467,"51","ROBUST CLUBHOOK SQUID",21,"AI"
24,"BTCR","Bairdi Tanner Crab",01-JAN-86,"AKR",87,"931","Bairdi Tanner Crab",20,"BS"
24,"BTCR","Bairdi Tanner Crab",01-JAN-86,"AKR",87,"931","Bairdi Tanner Crab",31,"GOA"
24,"BTCR","Bairdi Tanner Crab",01-JAN-86,"AKR",87,"931","Bairdi Tanner Crab",21,"AI"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1233,"42","SEA ONIONS UNIDENTIFIED",20,"BS"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1233,"42","SEA ONIONS UNIDENTIFIED",21,"AI"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1233,"42","SEA ONIONS UNIDENTIFIED",31,"GOA"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1234,"43","ASCIDIAN - SEA SQUIRT - TUNICATE UNIDENT",20,"BS"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1242,"57","SEA POTATO UNIDENTIFIED",31,"GOA"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1234,"43","ASCIDIAN - SEA SQUIRT - TUNICATE UNIDENT",31,"GOA"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1242,"57","SEA POTATO UNIDENTIFIED",20,"BS"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1242,"57","SEA POTATO UNIDENTIFIED",21,"AI"
177,"BURC","Benthic urochordata",01-JAN-03,"OBS",1234,"43","ASCIDIAN - SEA SQUIRT - TUNICATE UNIDENT",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1299,"893","AUKLET/MURRELET UNIDENTIFIED",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1299,"893","AUKLET/MURRELET UNIDENTIFIED",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2532,"1179","WHISKERED AUKLET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2532,"1179","WHISKERED AUKLET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2532,"1179","WHISKERED AUKLET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2520,"1175","UNIDENTIFIED SMALL DARK AUKLET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2520,"1175","UNIDENTIFIED SMALL DARK AUKLET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2520,"1175","UNIDENTIFIED SMALL DARK AUKLET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2512,"1167","UNIDENTIFIED MURRELET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2512,"1167","UNIDENTIFIED MURRELET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2512,"1167","UNIDENTIFIED MURRELET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2505,"1160","UNIDENTIFIED AUKLET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2505,"1160","UNIDENTIFIED AUKLET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1299,"893","AUKLET/MURRELET UNIDENTIFIED",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1300,"894","MARBLED MURRELET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1300,"894","MARBLED MURRELET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1300,"894","MARBLED MURRELET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1302,"896","KITTLITZ'S MURRELET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1302,"896","KITTLITZ'S MURRELET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",1302,"896","KITTLITZ'S MURRELET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2544,"1103","ANCIENT MURRELET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2544,"1103","ANCIENT MURRELET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2544,"1103","ANCIENT MURRELET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2528,"1111","CASSIN'S AUKLET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2528,"1111","CASSIN'S AUKLET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2528,"1111","CASSIN'S AUKLET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2529,"1116","CRESTED AUKLET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2529,"1116","CRESTED AUKLET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2529,"1116","CRESTED AUKLET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2478,"1117","DOVEKIE",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2478,"1117","DOVEKIE",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2478,"1117","DOVEKIE",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2530,"1128","LEAST AUKLET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2530,"1128","LEAST AUKLET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2530,"1128","LEAST AUKLET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2531,"1141","PARAKEET AUKLET",20,"BS"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2531,"1141","PARAKEET AUKLET",21,"AI"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2531,"1141","PARAKEET AUKLET",31,"GOA"
209,"ABRD","Birds - Auklets",01-JAN-03,"OBS",2505,"1160","UNIDENTIFIED AUKLET",20,"BS"
210,"BBRD","Birds - Black-footed Albatross",01-JAN-03,"OBS",1268,"852","BLACK-FOOTED ALBATROSS",21,"AI"
210,"BBRD","Birds - Black-footed Albatross",01-JAN-03,"OBS",1268,"852","BLACK-FOOTED ALBATROSS",20,"BS"
210,"BBRD","Birds - Black-footed Albatross",01-JAN-03,"OBS",1268,"852","BLACK-FOOTED ALBATROSS",31,"GOA"
211,"CBRD","Birds - Cormorant",01-JAN-03,"OBS",1275,"861","CORMORANT UNIDENTIFIED",20,"BS"
211,"CBRD","Birds - Cormorant",01-JAN-03,"OBS",2533,"1143","PELAGIC CORMORANT",31,"GOA"
211,"CBRD","Birds - Cormorant",01-JAN-03,"OBS",2534,"1148","RED-FACED CORMORANT",31,"GOA"
211,"CBRD","Birds - Cormorant",01-JAN-03,"OBS",2533,"1143","PELAGIC CORMORANT",21,"AI"
211,"CBRD","Birds - Cormorant",01-JAN-03,"OBS",2533,"1143","PELAGIC CORMORANT",20,"BS"
211,"CBRD","Birds - Cormorant",01-JAN-03,"OBS",2534,"1148","RED-FACED CORMORANT",20,"BS"
